Identifier,lat1,lon1,lat2,lon2,distance
1643,32.730805,-117.253850,32.715329,-117.157255,9.198608
1644,29.116361,-80.981750,28.541879,-81.374460,74.458256
1645,41.235064,-96.050730,41.124229,-96.060486,12.351261
1646,38.932760,-77.167700,38.917866,-77.023722,12.564573
1647,47.311072,-122.311880,36.171909,-115.139969,1372.683770
1648,28.683408,-81.281510,28.556902,-81.347115,15.455793
1649,39.919812,-75.158030,36.171909,-115.139969,3496.523780
1650,34.272374,-88.682200,36.211492,-86.692496,281.307857
1651,33.771755,-84.380650,33.793083,-84.445374,6.434741
1652,40.092610,-75.041180,36.171909,-115.139969,3504.405774
1653,41.880446,-87.630140,26.010410,-80.160080,1892.475085
1654,33.585037,-112.008150,32.715329,-117.157255,488.965420
1655,42.209555,-70.999680,42.935690,-70.825140,81.997679
1656,30.009609,-94.114010,29.626598,-98.754166,449.642322
1657,38.019022,-122.545890,51.472438,-3.165064,8456.276532
1658,42.678112,-73.829830,36.152607,-86.789270,1326.538325
1659,35.927901,-114.972061,36.125504,-115.164238,27.954549
1660,34.076642,-118.039420,33.699765,-117.917572,43.389904
1661,38.552303,-90.379210,36.125504,-115.164238,2200.964857
1662,30.554434,-84.259790,36.211492,-86.692496,668.287291
1663,37.748730,-122.415450,37.792778,-122.421880,4.930414
1664,35.232085,-89.852140,36.211492,-86.692496,305.299986
1665,39.731237,-104.971330,39.740118,-104.975305,1.044381
1666,38.243299,-122.606900,38.347174,-122.695370,13.893161
1667,34.134057,-118.026620,36.125504,-115.164238,341.721337
1668,32.740900,-117.244340,32.715329,-117.157255,8.628083
1669,38.480494,-122.749760,38.347174,-122.695370,15.563486
1670,47.510739,-122.183720,49.031204,-122.287300,169.241686
1671,40.867469,-124.075190,45.513790,-122.645800,529.457882
1672,42.065427,-87.936210,41.949847,-87.658800,26.277943
1673,37.592184,-122.045770,38.917866,-77.023722,3893.568246
1674,39.281289,-80.343480,39.964012,-75.147640,451.378839
1675,37.669803,-97.232890,51.472438,-3.165064,7082.903868
1676,38.254671,-85.702540,38.160106,-85.779555,12.483995
1677,34.061931,-117.319950,36.211492,-86.692496,2783.738322
1678,36.015992,-78.959110,35.947399,-79.321320,33.471978
1679,39.767536,-105.019730,39.740118,-104.975305,4.870078
1680,35.340759,-119.064970,36.125504,-115.164238,362.710511
1681,36.140974,-115.282050,36.211492,-86.692496,2556.710257
1682,34.259052,-118.594260,51.472438,-3.165064,8598.752021
1683,51.570210,-0.131725,51.505060,-0.147532,7.326373
1684,37.772329,-122.410870,37.792778,-122.421880,2.471132
1685,45.671806,-122.578940,45.513790,-122.645800,18.324550
1686,51.441044,-0.195622,51.505060,-0.147532,7.858985
1687,39.840496,-96.048330,36.211492,-86.692496,912.797974
1688,34.127819,-117.524600,33.699765,-117.917572,59.837174
1689,51.539403,-0.485518,-22.964094,-43.356972,9278.350857
1690,54.599282,-5.861433,51.505060,-0.147532,513.740540
1691,51.434575,-0.010353,51.505060,-0.147532,12.317250
1692,51.685118,-3.926520,51.472438,-3.165064,57.687061
1693,51.531783,-0.205330,51.505060,-0.147532,4.982282
1694,51.873535,-2.207969,51.472438,-3.165064,79.654441
1695,51.627191,0.433784,51.505060,-0.147532,42.413357
1696,51.448764,-0.144084,51.505060,-0.147532,6.264343
1697,51.389943,-2.361569,51.505060,-0.147532,153.960180
1698,50.974331,-1.397728,51.472438,-3.165064,134.960630
1699,51.481980,-3.196535,51.472438,-3.165064,2.424094
1700,51.599025,-0.127847,51.520184,-0.071013,9.606899
1701,48.874527,2.299405,51.505060,-0.147532,340.401092
1702,51.439114,-0.054279,51.520184,-0.071013,9.088676
1703,51.996950,0.387347,51.505060,-0.147532,65.933989
1704,34.416521,-84.108490,36.152607,-86.789270,310.579483
1705,51.629585,-3.972324,51.453746,-2.600588,96.857834
1706,57.673438,-1.931384,36.125504,-115.164238,7879.788124
1707,51.544986,-0.072719,51.520184,-0.071013,2.760446
1708,53.414459,-2.872346,51.505060,-0.147532,281.313402
1709,51.292192,-2.445370,51.472438,-3.165064,53.817108
1710,51.497562,-0.113346,51.520184,-0.071013,3.861397
1711,57.677639,-2.030687,36.125504,-115.164238,7874.858431
1712,51.694451,-2.377302,52.480825,-1.915017,92.970039
1713,51.434406,-0.102437,51.520184,-0.071013,9.783171
1714,32.753672,-97.087060,43.896889,-78.859039,2008.092228
1715,51.713348,-4.712236,51.472438,-3.165064,110.181137
1716,51.501538,-0.219270,51.505060,-0.147532,4.980761
1717,51.467719,-0.075833,51.520184,-0.071013,5.843331
1718,41.857303,-72.666540,43.896889,-78.859039,553.029858
1719,52.378248,-2.260370,52.387201,-1.991667,18.264431
1720,52.989861,-0.422531,51.472438,-3.165064,251.673467
1721,51.302284,-0.789010,51.472438,-3.165064,165.952270
1722,51.734493,-1.211464,51.595989,-0.136335,75.732547
1723,44.324736,-74.168430,45.496030,-73.569478,138.518555
1724,35.797882,-78.797020,35.947399,-79.321320,50.081344
1725,51.909305,-0.190319,51.505060,-0.147532,45.046512
1726,30.284511,-81.470430,36.211492,-86.692496,818.314321
1727,51.579481,-3.306801,51.472438,-3.165064,15.421417
1728,37.770937,-122.442760,37.792778,-122.421880,3.043902
1729,51.491676,-0.208202,51.549045,-0.141048,7.891887
1730,51.472815,-0.083970,51.505060,-0.147532,5.676590
1731,30.055195,-95.468260,30.267204,-97.742310,219.892478
1732,51.401055,0.037994,51.505060,-0.147532,17.291842
1733,42.066795,-72.510200,49.031204,-122.287300,3880.122523
1734,35.087468,-89.761500,33.793083,-84.445374,508.236168
1735,33.818304,-84.357790,33.793083,-84.445374,8.564456
1736,51.464604,-0.141792,51.520184,-0.071013,7.887102
1737,51.284168,-2.486989,51.472438,-3.165064,51.507854
1738,41.771265,-72.436690,49.031204,-122.287300,3901.434300
1739,39.296507,-76.606930,38.917866,-77.023722,55.370867
1740,53.328455,-0.935710,51.472438,-3.165064,255.841622
1741,51.781684,-2.185860,51.503282,0.003058,154.177119
1742,40.748536,-73.973484,43.641506,-79.431782,552.677694
1743,32.719601,-117.162460,32.715329,-117.157255,0.680246
1744,41.922682,-87.654320,41.949847,-87.658800,3.043256
1745,53.392928,-2.600402,51.472438,-3.165064,216.950835
1746,33.430922,-112.384820,36.211492,-86.692496,2358.598218
1747,51.594940,-0.024663,51.505060,-0.147532,13.117174
1748,34.630103,-86.801590,36.152607,-86.789270,169.298404
1749,44.101227,-123.136040,45.513790,-122.645800,161.760326
1750,36.256479,-115.161390,36.211492,-86.692496,2544.089976
1751,33.972850,-84.327750,33.793083,-84.445374,22.747803
1752,40.517304,-75.565150,39.289004,-76.607175,162.953814
1753,51.533442,-0.073736,51.520184,-0.071013,1.486229
1754,43.208136,-71.043560,36.211492,-86.692496,1544.600764
1755,26.094665,-80.179870,26.010410,-80.160080,9.575009
1756,37.786129,-122.437360,37.792778,-122.421880,1.548223
1757,52.974831,-1.305106,52.387201,-1.991667,80.071494
1758,51.133892,0.224824,51.472438,-3.165064,238.626797
1759,38.919211,-77.037770,38.917866,-77.023722,1.224529
1760,25.745549,-80.465100,36.125504,-115.164238,3483.054424
1761,40.738983,-73.792090,42.687302,-74.919456,235.983134
1762,49.505735,-117.279454,49.494083,-119.606796,168.068425
1763,41.203791,-96.178620,41.588981,-93.616477,217.957213
1764,43.627734,-116.207560,43.695190,-116.350182,13.707159
1765,42.675441,-72.046700,42.935690,-70.825140,103.770002
1766,51.495066,-0.178421,51.505060,-0.147532,2.409691
1767,51.430726,-0.095384,52.387201,-1.991667,168.015033
1768,51.807740,-2.235832,51.472438,-3.165064,74.174427
1769,51.482134,-0.099047,51.505060,-0.147532,4.214944
1770,51.515073,-0.196403,51.543979,-0.102095,7.272568
1771,42.011830,-87.841580,42.181875,-87.809560,19.091817
1772,37.770937,-122.442760,37.792778,-122.421880,3.043902
1773,53.408342,-2.625124,53.397020,-2.990063,24.225621
1774,35.054546,-80.817920,36.152607,-86.789270,553.395507
1775,51.711488,0.159906,51.503282,0.003058,25.559983
1776,53.001904,-1.267135,52.952649,-1.139291,10.161888
1777,40.146597,-74.208150,36.171909,-115.139969,3574.204264
1778,38.966340,-104.543130,51.472438,-3.165064,7410.631909
1779,42.904258,-78.655190,43.641506,-79.431782,103.311502
1780,48.943476,-122.457230,49.280659,-123.041344,56.685525
1781,39.003910,-76.880050,38.932185,-77.266278,34.330107
1782,25.702929,-80.296420,25.784276,-80.141260,17.981339
1783,51.541848,-0.139636,51.505060,-0.147532,4.126906
1784,52.361423,-2.055596,52.387201,-1.991667,5.200955
1785,50.404145,-4.107735,51.505060,-0.147532,303.153635
1786,32.761801,-117.012730,32.715329,-117.157255,14.471635
1787,29.717529,-95.428210,29.753927,-95.364053,7.399521
1788,51.020730,-0.446781,51.472438,-3.165064,195.745464
1789,33.745739,-84.376400,33.793083,-84.445374,8.268099
